condition easy, random seed 360612
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.2088528, 0.3528511, 0.09264563, -0.3570009, -0.03536865, 0.1867403, -0.9145641, 0.001594257, 1.169617, 0.1386556, -0.08715568, 0, 0, -0.9961947, 0.212964, 0.2954491, 0.1534257, -0.6350331, -0.4449707, -0.3745916, -0.5083457
0.15, 0, 0, 0, 0, 0, 0, 1, 0.2336785, 0.3590884, 0.09958159, -0.3585757, 0.03701071, 0.1177506, -0.9253045, 0.00159433, 1.169527, 0.1386715, -0.08715568, 0, 0, -0.9961947, 0.2309144, 0.3034077, 0.1620165, -0.5732533, -0.4261498, -0.4447381, -0.5403565
0.2, 0, 0, 0, 0, 0, 0, 1, 0.2295245, 0.3673903, 0.1041398, -0.3651407, 0.2245525, 0.0277482, -0.9030385, 0.00159433, 1.16953, 0.1386648, -0.08715568, 0, 0, -0.9961947, 0.2028736, 0.3126912, 0.1616188, -0.4565017, -0.3176199, -0.5564286, -0.6173421
0.25, 0, 0, 0, 0, 0, 0, 1, 0.248562, 0.3840206, 0.1122963, -0.3359204, 0.2929503, 0.01112545, -0.8951055, 0.00159433, 1.169515, 0.1386833, -0.08715568, 0, 0, -0.9961947, 0.2123021, 0.3336984, 0.1685013, -0.4042169, -0.28277, -0.5666181, -0.6599954
0.3, 0, 0, 0, 0, 0, 0, 1, 0.2697603, 0.4005307, 0.1251871, -0.3535177, 0.3450009, 0.031264, -0.8689201, 0.001594329, 1.169495, 0.1387076, -0.08715568, 0, 0, -0.9961947, 0.2253458, 0.3495278, 0.1745039, -0.4047417, -0.2214001, -0.5729506, -0.677417
0.35, 0, 0, 0, 0, 0, 0, 1, 0.2966632, 0.4201907, 0.1351532, -0.3983282, 0.3838367, 0.06888767, -0.8302159, 0.001594329, 1.169477, 0.1387304, -0.08715568, 0, 0, -0.9961947, 0.2457458, 0.3665477, 0.1743443, -0.434012, -0.1469333, -0.5778164, -0.6754055
0.4, 0, 0, 0, 0, 0, 0, 1, 0.3348258, 0.4500849, 0.1512415, -0.4572937, 0.3896898, 0.1263472, -0.789342, 0.001594329, 1.169453, 0.1387593, -0.08715568, 0, 0, -0.9961947, 0.2804493, 0.3936518, 0.1806455, -0.4942998, -0.08182704, -0.5684704, -0.652544
0.45, 0, 0, 0, 0, 0, 0, 1, 0.3662653, 0.5063757, 0.2014396, -0.4888803, 0.3906308, 0.1950627, -0.755218, 0.001594329, 1.169423, 0.1387959, -0.08715568, 0, 0, -0.9961947, 0.3073944, 0.4516837, 0.2248724, -0.5478786, -0.02901459, -0.5349362, -0.6425189
